id,title,audio_path,duration_sec,leading_silence_sec,trailing_silence_sec,max_internal_gap_sec,flags,notes
gaarupno_20180606_150920,avian chorus with Savanah Sparrow and occasional insect wingbeats,highlights/audio/BIRDS/GAARUPNO_20180606_150920 avian chorus with Savanah Sparrow and occasional insect wingbeats.mp3,236.0,0.0,0.0,0.0,,
gaarupno_20180607_025501,Savanah Sparrow song with chorus background,highlights/audio/BIRDS/GAARUPNO_20180607_025501 Savanah Sparrow song with chorus background.mp3,82.0,0.0,0.0,0.0,,
glbabartc_20200707_111214,GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav,highlights/audio/BIRDS/GLBABARTC_20200707_111214._Sooty_Grous_near_mic_AMPLIFY_FADEewav.mp3,59.903,0.255,4.249,0.221,trailing,trailing silence 4.25s
glbarendu_20220616_230000,very clear Varied Thrush song background Humpback Whale activity (TRIM),highlights/audio/BIRDS/GLBARENDU_20220616_230000 very clear Varied Thrush song background Humpback Whale activity (TRIM).mp3,96.351,0.255,0.0,0.0,,
katmcros_20170731_051841,"Gray-cheeked Thrush song with diverse, distant riparian background chorus","highlights/audio/BIRDS/KATMCROS_20170731_051841 Gray-cheeked Thrush song with diverse, distant riparian background chorus.mp3",76.59,0.116,0.012,0.871,,
katmjojo_20160710_221044,excellent Common Loon call chorus,highlights/audio/BIRDS/KATMJOJO_20160710_221044 excellent Common Loon call chorus.mp3,135.002,0.0,0.0,0.0,,
katmkaba_20160823_205149,"excellent very clear Northern Raven calls, background American Tree Sparrow calls","highlights/audio/BIRDS/KATMKABA_20160823_205149 excellent very clear Northern Raven calls, background American Tree Sparrow calls.mp3",66.0,0.0,0.0,0.0,,
laclhanm_20190829_062559,very clear Common Loon calls with extensive echo and some distortion (TRIM),highlights/audio/BIRDS/LACLHANM_20190829_062559 very clear Common Loon calls with extensive echo and some distortion (TRIM).mp3,25.165,0.255,0.36,0.557,,
denahig1_20120728_122042,insect and running animal,highlights/audio/GENERAL/DENAHIG1_20120728_122042 insect and running animal.mp3,37.0,0.0,0.0,0.046,,
denamoos_20180814_105458,if a tree falls,highlights/audio/GENERAL/DENAMOOS_20180814_105458 if a tree falls.mp3,19.0,0.012,0.012,0.035,,
denaphen_20160326_044922,Denali Kennels dogs howling,highlights/audio/GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling TRIM.mp3,79.375,0.0,0.0,0.0,,
denaphen_20160326_044922-mp3,Denali Kennels dogs howling,highlights/audio/GENERAL/DENAPHEN_20160326_044922 Denali Kennels dogs howling.mp3,95.0,0.0,0.0,0.0,,
denathri_20150630_125351,rain faint chorus,highlights/audio/GENERAL/DENATHRI_20150630_125351 rain faint chorus.mp3,154.0,0.0,0.0,0.0,,
denatoko_20160511_070134,long cut of avian chorus with showers,highlights/audio/GENERAL/DENATOKO_20160511_070134 long cut of avian chorus with showers TRIM.mp3,120.0,0.0,0.0,0.0,,
denatoko_20160513_130223,animal movement bird chorus and river,highlights/audio/GENERAL/DENATOKO_20160513_130223 animal movement bird chorus and river.mp3,127.0,0.0,0.0,0.0,,
glbabartc_20210726_194850,curious_natural_sound like child humming,highlights/audio/GENERAL/GLBABARTC_20210726_194850_curious_natural_sound like child humming TRIM FADE COMPRESS AMPLIFY.mp3,105.423,0.267,1.324,0.07,trailing,trailing silence 1.32s
laclkijk_20180619_193149,ambience with raindrops and punctuated bird song,highlights/audio/GENERAL/LACLKIJK_20180619_193149 ambience with raindrops and punctuated bird song.mp3,132.0,0.0,0.0,0.0,,
laclkijk_20180619_194318,ambience with raindrops and avian chorus,highlights/audio/GENERAL/LACLKIJK_20180619_194318 ambience with raindrops and avian chorus.mp3,187.0,0.0,0.0,0.0,,
denaback_20140609_004008,pronounced rock slide with several phases,highlights/audio/GEOPHONY/DENABACK_20140609_004008 pronounced rock slide with several phases AMPLIFY +15 dBFS (slight TRIM).mp3,99.696,0.058,0.0,0.464,,
denaback_20140724_210128,rock slide with large pieces at end,highlights/audio/GEOPHONY/DENABACK_20140724_210128 rock slide with large pieces at end.mp3,50.18,0.0,0.0,0.0,,
denabicr_20130707_143335,DENABICR_20130707_143335-Thunder And Rain,highlights/audio/GEOPHONY/DENABICR_20130707_143335-Thunder And Rain TRIM.mp3,33.747,0.244,0.046,0.151,,
denabmul_20210330_001843,Muldrow surge long cut,highlights/audio/GEOPHONY/DENABMUL_20210330_001843 Muldrow surge long cut TRIM.mp3,120.0,0.046,0.255,0.372,,
denabmul_20210401_051821,Muldrow surge long cut,highlights/audio/GEOPHONY/DENABMUL_20210401_051821 Muldrow surge long cut TRIM.mp3,120.0,0.012,0.0,0.557,,
denabmul_20210401_051821-mp3,Muldrow surge shorter clip,highlights/audio/GEOPHONY/DENABMUL_20210401_051821 Muldrow surge shorter clip.mp3,85.853,0.012,0.0,0.557,,
denabmul_20210401_091907,"Muldrow surge long cut, extensive low-frequency rumbling features","highlights/audio/GEOPHONY/DENABMUL_20210401_091907 Muldrow surge long cut, extensive low-frequency rumbling features TRIM.mp3",120.0,0.023,0.0,0.128,,
denacath_20120808_064000,"good quality rock slide, slow speed, blocky extrusive igneous chunks","highlights/audio/GEOPHONY/DENACATH_20120808_064000 good quality rock slide, slow speed, blocky extrusive igneous chunks TRIM.mp3",24.934,0.0,0.0,0.012,,
denakich_20120522_100025,Avalanche with bird song,highlights/audio/GEOPHONY/DENAKICH_20120522_100025_Avalanche with bird song.mp3,179.0,0.0,0.0,0.0,,
denakich_20120522_161217,Avalanche loud and sudden,highlights/audio/GEOPHONY/DENAKICH_20120522_161217 Avalanche loud and sudden AMPLIFY -3 dBFS FADE OUT.mp3,54.83,0.0,0.522,0.023,,
denaruth_20190526_040919,small avalanche with distinct slab-breaking event,highlights/audio/GEOPHONY/DENARUTH_20190526_040919 small avalanche with distinct slab-breaking event AMPLIFY +15dB.mp3,157.0,0.128,0.081,0.72,,
denaruth_20190529_214609,prominent snow avalanche,highlights/audio/GEOPHONY/DENARUTH_20190529_214609 prominent snow avalanche.mp3,65.869,0.244,0.255,22.163,internal_gap,internal gap 22.16s
denaskgl_20210602_041003,rock slide,highlights/audio/GEOPHONY/DENASKGL_20210602_041003 rock slide.mp3,268.0,0.0,0.151,0.302,,
denasush_20260612_111248,"clear, crisp thunder","highlights/audio/GEOPHONY/DENASUSH_20260612_111248 clear, crisp thunder TRIM.mp3",34.391,0.255,5.898,1.753,trailing,trailing silence 5.90s
