id,title,duration_sec,integrated_lufs,rms_db,peak_db,dynamic_range_db,flags,notes
denautok_20190810_082714,rock slide with deep thump,11.23,,-31.43,-10.2,21.24,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denauyen_20120520_124131,short midground rock slide,27.0,,-43.92,-10.76,33.16,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denauyen_20120520_180417,"avalanche with two major bursts, then a long wash-out",87.0,,-40.13,-18.96,21.16,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denauyen_20120521_144128,"clear, deep rock motion on the glacier",23.36,,-33.66,-5.0,28.66,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denauyen_20120523_075701,quality rock slide audio,64.76,,-29.16,-1.07,28.09,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denauyen_20120524_215113,"excellent, steady rock slide audio",67.1,,-23.31,0.01,23.32,clipping_risk,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaararri_20180624_075645,"small rockfall, background avian chorus",105.0,,-41.15,-12.47,28.69,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaararri_20180625_071639,"rockslide, background Golden-crowned Sparrow song",41.64,,-38.91,-15.64,23.27,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaararri_20180628_145728,Thunder and beginning of rain shower,40.07,,-23.82,-2.6,21.22,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaaritki_20190621_150734,thunder,40.35,,-30.29,-6.01,24.28,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
gaarnwal_20140708_140748,thunder no clipping,31.87,,-24.7,-4.21,20.5,,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denacabn_20130714_112628,DENACABN_20130714_112628-UnknownOrthopteran,95.0,,-59.77,-44.44,15.33,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denamcri_20120725_151912,Mosquito (clear),35.0,,-51.8,-37.98,13.82,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denamcri_20120810_191000,mosquitos close,126.0,,-64.77,-37.52,27.25,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denamoos_20180719_075149,insect wingbeats with two acoustically distinct behaviors,237.0,,-55.32,-32.3,23.02,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denatoko_20160506_015745,deep insect wingbeats,19.0,,-47.25,-31.49,15.76,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
denatoko_20160507_232954,insect wingbeats with Varied Thrush song,35.0,,-45.49,-24.85,20.64,very_quiet,LUFS unavailable (pyloudnorm not installed); using RMS dBFS
