filepath,filename,category_folder,parsed_park_code,parsed_site_code,parsed_date,free_text_description,score,keyword_score,quality_score,quality_tags,mammal_type,xc_common_name,xc_quality,file_size_bytes
INSECTS/DENAMOOS_20180719_075149 insect wingbeats with two acoustically distinct behaviors.wav,DENAMOOS_20180719_075149 insect wingbeats with two acoustically distinct behaviors.wav,INSECTS,DENA,MOOS,2018-07-19,insect wingbeats with two acoustically distinct behaviors,3,3,0,,,,,20903444
INSECTS/DENATRLA_20240629_213201 very clear insect wings close to the windscreen.wav,DENATRLA_20240629_213201 very clear insect wings close to the windscreen.wav,INSECTS,DENA,TRLA,2024-06-29,very clear insect wings close to the windscreen,3,0,3,very_clear,,,,2116844
INSECTS/GAARFLOR_20180612_210329 clear insect buzzing.wav,GAARFLOR_20180612_210329 clear insect buzzing.wav,INSECTS,GAAR,FLOR,2018-06-12,clear insect buzzing,1,0,1,clear,,,,6703244
INSECTS/DENAMCRI_20120725_151912_Mosquito (clear).wav,DENAMCRI_20120725_151912_Mosquito (clear).wav,INSECTS,DENA,MCRI,2012-07-25,Mosquito (clear),1,0,1,clear,,,,3087044
INSECTS/DENACABN_20130714_112628-UnknownOrthopteran.wav,DENACABN_20130714_112628-UnknownOrthopteran.wav,INSECTS,DENA,CABN,2013-07-14,-UnknownOrthopteran,0,0,0,,,,,8379044
INSECTS/KATMDORI_20160811_093232 a long insect event with rich harmonics.wav,KATMDORI_20160811_093232 a long insect event with rich harmonics.wav,INSECTS,KATM,DORI,2016-08-11,a long insect event with rich harmonics,0,0,0,,,,,20815244
INSECTS/GAARUPNO_20180726_222040 fly sporadically buzzes.wav,GAARUPNO_20180726_222040 fly sporadically buzzes.wav,INSECTS,GAAR,UPNO,2018-07-26,fly sporadically buzzes,0,0,0,,,,,8908244
"INSECTS/GAARNNUT_20140706_112454 long, horrible insect recording.wav","GAARNNUT_20140706_112454 long, horrible insect recording.wav",INSECTS,GAAR,NNUT,2014-07-06,"long, horrible insect recording",0,0,0,,,,,11907044
INSECTS/DENAMCRI_20120810_191000 mosquitos close.wav,DENAMCRI_20120810_191000 mosquitos close.wav,INSECTS,DENA,MCRI,2012-08-10,mosquitos close,0,0,0,,,,,11113244
MAMMAL REFERENCE/WRSTTALA_20160401_010659 relatively clear pair of wolves howling with reverberation.wav,WRSTTALA_20160401_010659 relatively clear pair of wolves howling with reverberation.wav,MAMMAL REFERENCE,WRST,TALA,2016-04-01,relatively clear pair of wolves howling with reverberation,25,22,3,very_clear,wolf,,,5380244
MAMMAL REFERENCE/WRSTBLMT_20150409_103518 Wolves howling - three distinct voices from an individual followed by group chorus.wav,WRSTBLMT_20150409_103518 Wolves howling - three distinct voices from an individual followed by group chorus.wav,MAMMAL REFERENCE,WRST,BLMT,2015-04-09,Wolves howling - three distinct voices from an individual followed by group chorus,24,24,0,,wolf,,,9613844
"MAMMAL REFERENCE/DENAHAUK_20140617_084002 iron creek west wolves (male 1405) howling, dawn chorus.wav","DENAHAUK_20140617_084002 iron creek west wolves (male 1405) howling, dawn chorus.wav",MAMMAL REFERENCE,DENA,HAUK,2014-06-17,"iron creek west wolves (male 1405) howling, dawn chorus",24,24,0,,wolf,,,8930516
MAMMAL REFERENCE/WRSTBLMT_20170128_072543 excellent wolf pack howling.wav,WRSTBLMT_20170128_072543 excellent wolf pack howling.wav,MAMMAL REFERENCE,WRST,BLMT,2017-01-28,excellent wolf pack howling,23,18,5,excellent,wolf,,,8820044
MAMMAL REFERENCE/WRSTCOPA_20160313_014852 solitary wolf howl very clear.wav,WRSTCOPA_20160313_014852 solitary wolf howl very clear.wav,MAMMAL REFERENCE,WRST,COPA,2016-03-13,solitary wolf howl very clear,21,18,3,very_clear,wolf,,,5027444
MAMMAL REFERENCE/GLBABARTC_20210628_065656 Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIM COMPRESS AMPLIFY FADE.wav,GLBABARTC_20210628_065656 Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIM COMPRESS AMPLIFY FADE.wav,MAMMAL REFERENCE,GLBA,BARTC,2021-06-28,Humpback Whale vocalizations and slapping with Sooty Grouse and avian chorus TRIM COMPRESS AMPLIFY FADE,20,20,0,,whale,,,32316284
MAMMAL REFERENCE/WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group.wav,WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group.wav,MAMMAL REFERENCE,WRST,BLMT,2017-02-04,clear solitary wolf howling occasional background group,19,18,1,clear,wolf,,,26989244
MAMMAL REFERENCE/WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group BANDPASS 200 - 2500 Hz AMPLIFY +15 dBFS.wav,WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group BANDPASS 200 - 2500 Hz AMPLIFY +15 dBFS.wav,MAMMAL REFERENCE,WRST,BLMT,2017-02-04,clear solitary wolf howling occasional background group BANDPASS 200 - 2500 Hz AMPLIFY +15 dBFS,19,18,1,clear,wolf,,,26991970
"MAMMAL REFERENCE/WRSTBLMT_20170322_201312 clear solitary wolf howling, vocal cracking.wav","WRSTBLMT_20170322_201312 clear solitary wolf howling, vocal cracking.wav",MAMMAL REFERENCE,WRST,BLMT,2017-03-22,"clear solitary wolf howling, vocal cracking",19,18,1,clear,wolf,,,5997644
MAMMAL REFERENCE/WRSTTALA_20160229_204005 clear group wolf howls.wav,WRSTTALA_20160229_204005 clear group wolf howls.wav,MAMMAL REFERENCE,WRST,TALA,2016-02-29,clear group wolf howls,19,18,1,clear,wolf,,,6791444
MAMMAL REFERENCE/WRSTBLMT_20150429_225402 clear Wolves howling.wav,WRSTBLMT_20150429_225402 clear Wolves howling.wav,MAMMAL REFERENCE,WRST,BLMT,2015-04-29,clear Wolves howling,19,18,1,clear,wolf,,,6967844
"MAMMAL REFERENCE/WRSTBLMT_20150402_093032 clear wolves howling, slowly builds.wav","WRSTBLMT_20150402_093032 clear wolves howling, slowly builds.wav",MAMMAL REFERENCE,WRST,BLMT,2015-04-02,"clear wolves howling, slowly builds",19,18,1,clear,wolf,,,33427844
"MAMMAL REFERENCE/GLBAMCLEOD_20220903_234345 Humpback Whale breathing, breaching.wav","GLBAMCLEOD_20220903_234345 Humpback Whale breathing, breaching.wav",MAMMAL REFERENCE,GLBA,MCLEOD,2022-09-03,"Humpback Whale breathing, breaching",18,18,0,,whale,,,42071444
MAMMAL REFERENCE/WRSTBLMT_20170211_002212 solitary wolf howl leads into group howling.wav,WRSTBLMT_20170211_002212 solitary wolf howl leads into group howling.wav,MAMMAL REFERENCE,WRST,BLMT,2017-02-11,solitary wolf howl leads into group howling,18,18,0,,wolf,,,14112044
MAMMAL REFERENCE/DENATRLA_20170712_233940 very clear reverberant Coyote howls.wav,DENATRLA_20170712_233940 very clear reverberant Coyote howls.wav,MAMMAL REFERENCE,DENA,TRLA,2017-07-12,very clear reverberant Coyote howls,16,13,3,very_clear,canid other,,,9349244
MAMMAL REFERENCE/DENATRLA_20180809_213355 coyote howls.wav,DENATRLA_20180809_213355 coyote howls.wav,MAMMAL REFERENCE,DENA,TRLA,2018-08-09,coyote howls,13,13,0,,canid other,,,5997644
MAMMAL REFERENCE/DENAFANG_20110706_064839_Dall Sheep bleating.wav,DENAFANG_20110706_064839_Dall Sheep bleating.wav,MAMMAL REFERENCE,DENA,FANG,2011-07-06,Dall Sheep bleating,13,13,0,,ungulate,,,43308290
MAMMAL REFERENCE/DENAFANG_20110708_033735_Dall Sheep bleating.wav,DENAFANG_20110708_033735_Dall Sheep bleating.wav,MAMMAL REFERENCE,DENA,FANG,2011-07-08,Dall Sheep bleating,13,13,0,,ungulate,,,6352462
MAMMAL REFERENCE/DENAFANG_20110708_033735_probably Dall Sheep bleating.wav,DENAFANG_20110708_033735_probably Dall Sheep bleating.wav,MAMMAL REFERENCE,DENA,FANG,2011-07-08,probably Dall Sheep bleating,13,13,0,,ungulate,,,6350444
MAMMAL REFERENCE/DENAFANG_20110708_040614_Dall Sheep bleating.wav,DENAFANG_20110708_040614_Dall Sheep bleating.wav,MAMMAL REFERENCE,DENA,FANG,2011-07-08,Dall Sheep bleating,13,13,0,,ungulate,,,12085474
MAMMAL REFERENCE/Bear/KATM005_20100915_070018 excellent gutteral bear sounds.wav,KATM005_20100915_070018 excellent gutteral bear sounds.wav,MAMMAL REFERENCE,KATM,005,2010-09-15,excellent gutteral bear sounds,12,7,5,excellent,bear,,,5380244
MAMMAL REFERENCE/Bear/KATM005_20100915_070024 excellent gutteral bear sounds TRIM.wav,KATM005_20100915_070024 excellent gutteral bear sounds TRIM.wav,MAMMAL REFERENCE,KATM,005,2010-09-15,excellent gutteral bear sounds TRIM,12,7,5,excellent,bear,,,3004352
MAMMAL REFERENCE/GLBARENDU_20220613_214042 Humpback Whale slapping sounds.wav,GLBARENDU_20220613_214042 Humpback Whale slapping sounds.wav,MAMMAL REFERENCE,GLBA,RENDU,2022-06-13,Humpback Whale slapping sounds,10,10,0,,whale,,,20374244
MAMMAL REFERENCE/GLBARENDU_20220612_162613 low-pitched Humpback Whale calls.wav,GLBARENDU_20220612_162613 low-pitched Humpback Whale calls.wav,MAMMAL REFERENCE,GLBA,RENDU,2022-06-12,low-pitched Humpback Whale calls,10,10,0,,whale,,,2381444
MAMMAL REFERENCE/GLBARENDU_20220610_213326 Humpback Whale.wav,GLBARENDU_20220610_213326 Humpback Whale.wav,MAMMAL REFERENCE,GLBA,RENDU,2022-06-10,Humpback Whale,10,10,0,,whale,,,24696044
MAMMAL REFERENCE/GLBAMCLEOD_20220611_034405 a long sequence of Humpback Whale breathing.wav,GLBAMCLEOD_20220611_034405 a long sequence of Humpback Whale breathing.wav,MAMMAL REFERENCE,GLBA,MCLEOD,2022-06-11,a long sequence of Humpback Whale breathing,10,10,0,,whale,,,83790044
MAMMAL REFERENCE/LACLCRES_20230914_072837 clear bear vocalizations.wav,LACLCRES_20230914_072837 clear bear vocalizations.wav,MAMMAL REFERENCE,LACL,CRES,2023-09-14,clear bear vocalizations,8,7,1,clear,bear,,,21697244
MAMMAL REFERENCE/WRSTBLMT_20170128_072543 pack howling BANDPASS 100 - 4000 Hz AMPLIFY +8 dBFS.wav,WRSTBLMT_20170128_072543 pack howling BANDPASS 100 - 4000 Hz AMPLIFY +8 dBFS.wav,MAMMAL REFERENCE,WRST,BLMT,2017-01-28,pack howling BANDPASS 100 - 4000 Hz AMPLIFY +8 dBFS,8,8,0,,other,,,8293570
MAMMAL REFERENCE/DENACATH_20170727_181009 Arctic Ground Squirrel call with reverberation.wav,DENACATH_20170727_181009 Arctic Ground Squirrel call with reverberation.wav,MAMMAL REFERENCE,DENA,CATH,2017-07-27,Arctic Ground Squirrel call with reverberation,8,8,0,,squirrel/marmot,,,5644844
MAMMAL REFERENCE/DENARUGL_20060619_043533_Bear Attack.mp3,DENARUGL_20060619_043533_Bear Attack.mp3,MAMMAL REFERENCE,DENA,RUGL,2006-06-19,Bear Attack,7,7,0,,bear,,,195231
MAMMAL REFERENCE/DENAVABM_20090719_091500_Bear biting and snuffing on mic.wav,DENAVABM_20090719_091500_Bear biting and snuffing on mic.wav,MAMMAL REFERENCE,DENA,VABM,2009-07-19,Bear biting and snuffing on mic,7,7,0,,bear,,,158372
MAMMAL REFERENCE/DENAVABM_20090729_035000_Bear huffing.wav,DENAVABM_20090729_035000_Bear huffing.wav,MAMMAL REFERENCE,DENA,VABM,2009-07-29,Bear huffing,7,7,0,,bear,,,159332
MAMMAL REFERENCE/DENAHOTS_20140601_212218 American Red Squirrel very clear and possible to hear palate or nasal-related sounds.wav,DENAHOTS_20140601_212218 American Red Squirrel very clear and possible to hear palate or nasal-related sounds.wav,MAMMAL REFERENCE,DENA,HOTS,2014-06-01,American Red Squirrel very clear and possible to hear palate or nasal-related sounds,7,4,3,very_clear,squirrel/marmot,,,29458844
"MAMMAL REFERENCE/DENATRLA_20240719_213623 very clear, spastic and varied American Red Squirrel alarm calls.wav","DENATRLA_20240719_213623 very clear, spastic and varied American Red Squirrel alarm calls.wav",MAMMAL REFERENCE,DENA,TRLA,2024-07-19,"very clear, spastic and varied American Red Squirrel alarm calls",7,4,3,very_clear,squirrel/marmot,,,8908244
MAMMAL REFERENCE/LACLCHBA_20180703_060620 clear coyotes.wav,LACLCHBA_20180703_060620 clear coyotes.wav,MAMMAL REFERENCE,LACL,CHBA,2018-07-03,clear coyotes,6,5,1,clear,other,,,9702046
MAMMAL REFERENCE/DENAFANG_20130730_090604_Caribou_Walking-Snorting-Grazing.mp3,DENAFANG_20130730_090604_Caribou_Walking-Snorting-Grazing.mp3,MAMMAL REFERENCE,DENA,FANG,2013-07-30,Caribou_Walking-Snorting-Grazing,6,6,0,,other,,,1540596
MAMMAL REFERENCE/GLBARENDU_20220613_234543 varied alarm calls including Hoary Marmot.wav,GLBARENDU_20220613_234543 varied alarm calls including Hoary Marmot.wav,MAMMAL REFERENCE,GLBA,RENDU,2022-06-13,varied alarm calls including Hoary Marmot,6,6,0,,squirrel/marmot,,,2646044
"DENABMUL_20210401_091907 Muldrow surge long cut, extensive low-frequency rumbling features.wav","DENABMUL_20210401_091907 Muldrow surge long cut, extensive low-frequency rumbling features.wav",root,DENA,BMUL,2021-04-01,"Muldrow surge long cut, extensive low-frequency rumbling features",15,15,0,,,,,133623046
DENABMUL_20210401_051821 Muldrow surge long cut.wav,DENABMUL_20210401_051821 Muldrow surge long cut.wav,root,DENA,BMUL,2021-04-01,Muldrow surge long cut,9,9,0,,,,,96490846
DENABMUL_20210330_001843 Muldrow surge long cut.wav,DENABMUL_20210330_001843 Muldrow surge long cut.wav,root,DENA,BMUL,2021-03-30,Muldrow surge long cut,9,9,0,,,,,51861646
GLBARENDU_20220610_232013.wav,GLBARENDU_20220610_232013.wav,root,GLBA,RENDU,2022-06-10,,0,0,0,,,,,58917644
